Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
CBs,SYN_CBs_MEDIO_01917,6016,1197,6.4,27,221,11,74,2,27.0,28.4,42,40,84
10s,SYN_10s_MEDIO_00064,5105,961,5.0,49,170,12,60,3,29.5,32.9,41,42,75
CMs,SYN_CMs_ALTO_00366,10495,2003,9.4,59,257,20,119,4,29.3,31.9,69,57,89
CMs,SYN_CMs_ALTO_02126,11323,2155,11.0,44,322,31,122,4,30.7,32.9,80,76,90
STs,SYN_STs_BAIXO_00205,841,198,0.6,13,67,1,31,0,27.4,29.5,5,3,34
CMs,SYN_CMs_MEDIO_02026,5386,1262,6.8,43,244,11,71,1,28.2,30.6,45,24,74
10s,SYN_10s_ALTO_02492,8383,1612,8.7,54,282,14,92,3,31.0,32.6,57,49,90
CMs,SYN_CMs_MEDIO_00433,5185,1024,5.3,26,84,10,89,2,29.7,31.6,27,32,56
10s,SYN_10s_ALTO_03004,8983,1844,9.7,65,346,17,90,4,32.4,35.2,71,60,96
STs,SYN_STs_ALTO_02217,9595,1785,9.7,97,475,21,124,5,32.3,34.6,84,67,82
CBs,SYN_CBs_ALTO_02475,9870,1811,9.8,42,295,29,107,3,29.1,31.3,81,74,93
,SYN_Indefinido_MEDIO_00594,3342,551,2.9,53,57,7,50,2,29.2,32.1,18,25,69
WBs,SYN_WBs_MEDIO_01369,5794,1177,6.1,56,285,13,77,5,32.0,34.5,45,41,79
CBs,SYN_CBs_MEDIO_01679,4595,973,4.6,26,151,8,81,2,26.5,29.2,25,38,58
10s,SYN_10s_ALTO_01875,8823,1675,8.1,100,345,20,97,6,31.2,33.5,73,64,86
CBs,SYN_CBs_ALTO_02633,10291,1914,9.4,45,245,28,109,3,30.5,32.7,95,65,90
STs,SYN_STs_ALTO_02019,8052,1555,8.0,106,225,19,102,3,29.9,33.1,58,59,87
STs,SYN_STs_BAIXO_00655,1054,208,1.3,5,0,2,26,0,28.8,30.0,13,1,38
,SYN_Indefinido_ALTO_01013,8250,1778,8.0,49,196,27,96,4,30.4,33.0,71,70,82
10s,SYN_10s_ALTO_00117,8724,1620,8.1,46,416,18,109,4,30.2,33.7,68,67,81
10s,SYN_10s_ALTO_00464,9473,1766,8.8,66,411,32,111,6,32.8,36.1,82,67,88
CMs,SYN_CMs_MEDIO_01871,3474,740,3.7,10,110,6,60,0,29.6,31.1,19,25,54
10s,SYN_10s_ALTO_00863,9029,1602,8.1,52,338,22,112,3,31.4,34.5,77,60,80
CBs,SYN_CBs_MEDIO_00232,5306,1034,5.6,34,163,17,62,1,28.0,29.3,47,55,86
10s,SYN_10s_ALTO_02862,9359,1907,9.9,77,368,22,95,4,24.9,27.2,60,66,96
STs,SYN_STs_ALTO_01990,9408,1894,9.4,86,357,32,102,8,30.0,31.6,68,69,91
CMs,SYN_CMs_MEDIO_00325,4948,1028,5.0,9,101,14,72,2,28.9,31.7,29,44,71
CBs,SYN_CBs_BAIXO_00263,1537,304,1.6,0,76,0,35,0,24.9,26.9,0,5,44
CBs,SYN_CBs_ALTO_02048,9454,1777,8.8,41,257,22,98,2,29.5,31.2,77,80,96
10s,SYN_10s_ALTO_01161,8815,1747,8.8,72,345,17,98,5,29.7,31.5,55,62,91
CMs,SYN_CMs_MEDIO_02107,4634,892,4.6,28,180,8,61,2,32.1,33.7,30,34,75
CMs,SYN_CMs_MEDIO_02478,4614,1086,5.8,15,150,10,80,1,30.4,33.0,36,33,59
10s,SYN_10s_ALTO_01001,7761,1602,8.6,74,365,26,88,6,31.5,34.6,58,64,84
10s,SYN_10s_BAIXO_00662,260,8,0.3,14,0,1,13,1,24.2,27.2,0,7,18
10s,SYN_10s_MEDIO_01770,6307,1258,6.3,45,200,20,70,3,30.8,32.9,52,51,84
CBs,SYN_CBs_ALTO_00399,9395,1742,8.6,43,260,21,105,4,29.3,30.6,68,62,87
WBs,SYN_WBs_ALTO_00395,9490,1811,9.6,68,283,18,118,6,31.1,32.6,59,62,81
10s,SYN_10s_MEDIO_02001,4030,967,4.4,14,167,8,69,0,30.0,32.5,36,35,58
CBs,SYN_CBs_ALTO_00606,8389,1515,8.0,32,200,16,99,1,32.2,33.6,69,62,80
STs,SYN_STs_BAIXO_00550,729,308,1.6,1,16,3,31,3,28.9,30.1,0,14,28
CBs,SYN_CBs_MEDIO_01589,4812,863,4.3,36,88,9,72,0,26.5,29.5,38,40,62
CMs,SYN_CMs_ALTO_02345,10132,1914,9.6,63,298,21,117,4,32.5,35.1,66,70,88
CBs,SYN_CBs_ALTO_03226,7410,1339,6.1,32,154,22,93,1,29.8,31.1,69,56,82
CBs,SYN_CBs_BAIXO_00253,1115,130,1.1,8,0,0,24,0,26.5,29.8,3,0,43
CBs,SYN_CBs_ALTO_00670,10187,1851,10.0,35,346,25,108,4,29.7,31.2,68,74,91
10s,SYN_10s_MEDIO_01200,4307,721,3.7,31,218,13,66,2,27.6,31.0,36,33,63
STs,SYN_STs_BAIXO_00238,1802,359,1.8,1,141,0,42,0,26.7,30.0,0,6,44
10s,SYN_10s_MEDIO_01661,6872,1369,7.4,23,232,18,82,2,30.9,32.4,43,53,85
CBs,SYN_CBs_ALTO_02414,8532,1570,8.2,27,251,23,98,2,29.3,31.8,72,67,89
CBs,SYN_CBs_MEDIO_02625,4107,799,3.8,7,145,6,70,1,25.7,28.1,28,23,54
10s,SYN_10s_MEDIO_00969,5661,1243,6.8,58,293,13,71,2,29.5,32.4,39,44,78
CBs,SYN_CBs_BAIXO_00416,1012,190,1.3,1,0,1,76,0,23.7,26.2,6,5,13
,SYN_Indefinido_ALTO_00512,9940,1853,9.1,57,323,27,101,3,28.5,30.9,70,73,95
WBs,SYN_WBs_MEDIO_01484,5376,1102,5.7,59,334,11,80,2,30.1,31.6,43,34,64
STs,SYN_STs_BAIXO_00739,680,54,0.4,7,19,6,36,4,23.4,24.6,16,12,18
CMs,SYN_CMs_BAIXO_01235,492,8,0.1,4,2,0,45,0,26.8,29.0,0,5,10
STs,SYN_STs_MEDIO_00196,5370,1031,5.0,62,228,21,80,6,30.6,33.4,45,41,72
CMs,SYN_CMs_MEDIO_01666,5344,1078,5.7,18,98,9,82,2,30.9,34.5,23,37,72
10s,SYN_10s_ALTO_02443,7368,1502,7.4,72,329,19,86,3,30.2,32.1,48,57,85
,SYN_Indefinido_ALTO_00668,9611,1889,10.5,62,350,20,104,8,30.6,33.2,66,65,91
CMs,SYN_CMs_MEDIO_02530,3600,693,3.4,30,100,9,60,3,27.6,30.8,28,21,57
WBs,SYN_WBs_BAIXO_00178,2372,332,1.4,0,57,3,48,0,27.0,28.5,3,19,43
CBs,SYN_CBs_ALTO_02094,9436,1872,9.1,42,260,23,100,1,30.4,32.3,86,71,93
CMs,SYN_CMs_MEDIO_00465,6081,1173,6.2,37,167,13,83,2,29.5,32.7,42,31,71
CMs,SYN_CMs_BAIXO_00955,524,104,0.6,22,9,3,24,0,23.7,26.7,15,6,24
CMs,SYN_CMs_BAIXO_01125,891,53,0.4,2,110,0,28,0,26.0,29.4,1,0,26
CBs,SYN_CBs_MEDIO_00694,5208,876,3.9,16,176,12,71,1,27.2,30.1,56,39,78
CBs,SYN_CBs_MEDIO_02292,3215,542,3.0,7,137,9,59,0,30.5,31.9,38,39,56
WBs,SYN_WBs_MEDIO_01435,5865,1241,6.7,40,235,14,77,5,28.4,30.8,46,41,74
CBs,SYN_CBs_MEDIO_00609,3688,836,4.1,10,125,8,62,1,24.7,26.3,34,16,59
CBs,SYN_CBs_MEDIO_00257,3029,609,3.9,14,74,7,58,1,26.9,28.5,32,23,54
10s,SYN_10s_ALTO_01282,8695,1709,8.9,51,336,20,93,6,31.2,32.9,73,66,94
CBs,SYN_CBs_MEDIO_00765,6136,1134,5.6,27,140,20,68,2,25.6,28.7,57,49,81
10s,SYN_10s_MEDIO_00930,4470,907,4.7,43,216,13,74,4,29.8,32.1,27,27,59
10s,SYN_10s_ALTO_01272,8337,1709,9.4,68,305,19,91,5,30.0,31.4,74,51,90
WBs,SYN_WBs_ALTO_01568,10163,1839,9.5,90,365,25,119,7,28.6,31.3,63,57,86
STs,SYN_STs_MEDIO_00591,5741,973,5.0,39,145,20,68,7,28.7,32.2,55,51,81
CBs,SYN_CBs_BAIXO_00757,889,160,1.3,9,45,0,28,0,24.8,27.1,0,1,30
STs,SYN_STs_ALTO_01963,7840,1657,8.9,73,328,23,100,5,33.3,34.6,70,57,84
WBs,SYN_WBs_ALTO_01722,11838,2206,11.2,87,420,27,121,8,29.5,31.9,81,75,93
STs,SYN_STs_ALTO_02046,9644,1910,9.9,83,427,33,103,9,28.7,32.0,72,66,93
WBs,SYN_WBs_MEDIO_01452,4613,896,4.3,43,174,7,72,2,28.0,30.1,19,33,62
10s,SYN_10s_MEDIO_00432,4592,928,4.4,54,276,12,45,3,29.1,30.5,43,37,85
10s,SYN_10s_BAIXO_01425,605,85,0.1,5,0,0,50,0,28.9,30.1,4,0,14
10s,SYN_10s_ALTO_00135,9487,2080,11.0,94,338,25,94,6,29.5,31.4,78,74,95
CMs,SYN_CMs_ALTO_03221,10916,2043,10.5,58,265,20,120,1,30.9,34.4,61,70,87
CMs,SYN_CMs_MEDIO_02936,6014,916,4.0,26,195,11,76,2,30.9,33.9,37,30,76
STs,SYN_STs_MEDIO_01748,5117,1128,5.6,66,222,9,76,3,28.6,31.7,35,34,64
CBs,SYN_CBs_ALTO_03424,8854,1767,9.0,31,212,20,110,3,28.6,29.8,68,77,83
,SYN_Indefinido_ALTO_00788,8910,1707,8.4,54,267,27,104,6,32.9,35.3,58,79,87
CMs,SYN_CMs_ALTO_01838,9358,1736,8.5,26,300,14,119,3,32.3,33.5,55,49,83
10s,SYN_10s_BAIXO_00234,50,8,0.2,2,6,1,1,1,22.8,26.3,0,0,20
,SYN_Indefinido_ALTO_01101,8942,1648,8.2,70,320,22,110,2,32.1,34.6,74,55,85
CMs,SYN_CMs_BAIXO_00031,1158,334,1.5,12,60,6,24,2,27.5,29.3,21,17,50
10s,SYN_10s_MEDIO_00935,4958,1066,5.8,48,178,17,76,3,28.3,30.9,39,45,69
STs,SYN_STs_ALTO_00488,8170,1596,7.4,83,390,29,97,8,30.3,32.0,75,58,83
STs,SYN_STs_BAIXO_00427,50,32,0.4,0,6,1,6,0,25.6,28.9,11,0,4
10s,SYN_10s_BAIXO_00449,50,36,0.1,0,6,0,3,0,29.1,31.0,0,6,21
10s,SYN_10s_BAIXO_00710,878,219,1.5,22,85,3,25,2,25.5,29.0,8,5,38
CBs,SYN_CBs_ALTO_01848,11395,2205,11.7,38,385,27,118,1,31.4,35.0,88,78,95
CBs,SYN_CBs_ALTO_03376,8507,1519,7.9,34,310,24,102,3,27.6,28.9,64,70,85
10s,SYN_10s_ALTO_00206,9549,1775,9.1,60,323,16,107,3,31.7,34.0,68,61,85
CMs,SYN_CMs_ALTO_00107,7747,1545,7.3,70,271,14,94,3,30.4,31.9,49,50,83
CMs,SYN_CMs_BAIXO_01499,886,266,0.9,8,20,0,28,0,26.7,29.0,0,0,30
CBs,SYN_CBs_MEDIO_01666,3993,754,4.3,0,124,13,64,0,27.6,30.1,46,42,57
10s,SYN_10s_MEDIO_02634,4600,940,4.6,39,167,11,66,3,26.6,28.6,30,34,68
CBs,SYN_CBs_ALTO_01605,7573,1370,6.5,31,152,14,97,2,29.3,32.7,51,64,83
10s,SYN_10s_BAIXO_00645,658,257,0.2,3,0,2,46,0,28.8,30.0,13,6,18
WBs,SYN_WBs_MEDIO_01331,4320,761,3.3,30,276,11,50,4,29.3,31.9,32,35,75
CBs,SYN_CBs_ALTO_03398,8887,1691,8.2,31,191,21,116,2,29.2,31.0,68,62,80
CBs,SYN_CBs_BAIXO_01443,1796,344,1.7,2,1,2,41,0,23.7,25.5,6,9,51
CBs,SYN_CBs_BAIXO_00947,1297,157,0.8,3,0,0,42,0,22.0,23.3,4,3,29
CBs,SYN_CBs_BAIXO_01349,87,8,0.1,4,11,2,1,0,26.4,27.8,2,15,16
CBs,SYN_CBs_MEDIO_02368,4889,972,4.5,9,118,11,70,1,29.8,31.4,47,28,71
10s,SYN_10s_ALTO_03228,9084,1840,8.5,53,359,21,111,5,30.3,32.3,71,65,85
CBs,SYN_CBs_MEDIO_00843,4566,867,4.4,30,82,10,63,1,26.6,30.1,44,21,67
CBs,SYN_CBs_ALTO_00414,8234,1597,7.9,24,188,17,101,3,29.6,31.8,66,65,87
CMs,SYN_CMs_ALTO_02633,10637,1857,9.6,38,302,21,120,4,28.3,31.3,62,64,90
,SYN_Indefinido_ALTO_00607,8787,1775,8.7,42,319,21,102,3,35.7,37.3,56,55,86
10s,SYN_10s_ALTO_00608,8993,1654,8.3,87,347,24,91,4,33.8,37.3,83,67,95
CMs,SYN_CMs_ALTO_00426,11256,2115,10.6,61,345,25,127,2,31.1,32.4,64,77,89
10s,SYN_10s_MEDIO_00001,4321,764,3.6,28,175,8,84,1,31.3,33.0,31,42,55
10s,ORIG_ATL_10s_077,7491,1377,6.9,55,152,20,84,5,29.8,31.4,70,57,86
CBs,SYN_CBs_ALTO_00567,7562,1496,7.1,25,289,17,88,0,29.3,32.8,57,55,83
CBs,SYN_CBs_ALTO_02197,9869,2020,9.6,43,262,19,116,2,27.3,30.0,78,77,86
CBs,SYN_CBs_BAIXO_00896,743,20,0.1,2,48,0,30,0,23.4,24.8,4,0,30
CMs,SYN_CMs_MEDIO_00453,6108,1064,5.5,31,120,11,83,1,25.6,27.2,29,37,73
CBs,SYN_CBs_ALTO_00542,10169,1946,9.6,42,284,27,117,3,30.5,33.3,82,68,88
CBs,SYN_CBs_BAIXO_01375,1169,56,0.2,12,27,1,28,0,24.4,27.7,7,1,44
CBs,SYN_CBs_MEDIO_00334,4214,844,3.9,16,56,11,73,1,26.9,29.3,43,38,57
CBs,SYN_CBs_MEDIO_01080,4923,975,5.0,31,159,11,73,0,25.8,28.6,37,46,71
CMs,SYN_CMs_ALTO_00896,12296,2238,11.7,51,293,23,122,3,30.4,32.0,78,73,96
STs,SYN_STs_ALTO_01147,9439,1864,9.4,106,393,31,113,8,30.7,33.1,77,67,82
CBs,SYN_CBs_ALTO_02731,7842,1353,7.1,34,260,21,87,2,27.7,30.1,70,56,88
STs,SYN_STs_ALTO_00845,9013,1894,10.1,110,398,23,95,10,30.3,32.5,79,62,89
STs,SYN_STs_ALTO_01959,9317,1833,9.3,94,451,33,102,9,29.6,33.2,86,69,91
STs,SYN_STs_MEDIO_01766,7035,1275,5.9,63,172,25,77,6,27.9,29.5,61,54,85
STs,SYN_STs_ALTO_02175,7693,1466,7.4,86,365,26,93,7,30.9,32.8,76,64,85
CMs,SYN_CMs_ALTO_01958,9066,1685,8.5,45,287,14,113,3,32.5,36.0,62,47,81
CMs,SYN_CMs_MEDIO_01818,6399,1244,6.1,17,302,11,87,1,27.8,30.1,35,31,74
WBs,SYN_WBs_MEDIO_00459,4280,856,4.3,37,219,7,70,0,34.2,35.4,25,41,56
WBs,SYN_WBs_MEDIO_00761,4702,943,4.9,40,192,13,92,4,31.0,34.1,31,30,55
10s,SYN_10s_MEDIO_02399,6266,1195,6.0,32,311,13,79,3,27.3,30.4,38,42,84
10s,SYN_10s_MEDIO_01836,3573,676,3.8,19,191,11,50,2,27.8,29.0,29,32,67
STs,SYN_STs_ALTO_01171,9287,1907,9.6,83,368,28,97,9,28.1,31.6,76,66,95
CMs,SYN_CMs_MEDIO_01504,4716,881,4.8,10,113,9,75,1,29.0,31.3,21,28,62
,SYN_Indefinido_BAIXO_00492,1252,455,2.8,21,65,1,41,1,23.9,26.9,0,5,30
10s,ORIG_ATL_10s_042,7499,1499,7.5,59,301,18,101,4,30.4,33.2,37,53,76
10s,SYN_10s_ALTO_01461,8647,1677,8.4,56,385,21,100,4,30.2,31.8,70,66,91
CBs,SYN_CBs_MEDIO_00352,4193,881,4.5,19,151,15,65,4,28.1,30.4,24,40,65
CBs,SYN_CBs_ALTO_03131,7288,1311,7.0,16,169,18,83,3,29.1,32.6,69,65,84
STs,SYN_STs_MEDIO_00783,6328,1302,6.5,54,370,24,74,7,26.6,29.9,55,54,86
10s,SYN_10s_MEDIO_01752,4047,735,3.5,36,86,11,70,2,28.1,30.6,22,34,56
CMs,SYN_CMs_ALTO_00419,8885,1736,9.2,39,285,16,109,3,30.8,32.1,52,64,81
10s,SYN_10s_MEDIO_00890,4938,1139,5.6,20,174,15,63,3,28.6,30.9,40,33,72
10s,SYN_10s_BAIXO_00986,312,8,0.1,0,28,2,27,0,23.6,25.2,7,6,13
CBs,SYN_CBs_ALTO_03072,8752,1653,8.2,39,175,23,97,3,26.5,29.7,79,64,88
STs,SYN_STs_ALTO_01451,8787,1792,8.8,58,362,25,101,11,30.0,31.1,77,65,83
STs,SYN_STs_MEDIO_00261,3129,506,2.2,41,180,10,59,3,29.0,30.8,24,24,55
CMs,SYN_CMs_MEDIO_01015,4223,1069,5.3,28,140,6,68,2,28.6,30.4,14,18,61
10s,SYN_10s_ALTO_00759,7895,1448,7.1,57,256,18,85,3,30.5,32.7,65,58,91
10s,SYN_10s_BAIXO_00197,496,34,0.2,7,26,0,19,0,24.4,27.8,0,0,23
10s,SYN_10s_BAIXO_01375,1559,373,2.1,9,164,1,34,0,30.6,33.7,6,9,50
CMs,SYN_CMs_MEDIO_01030,6613,1282,6.3,31,194,11,77,2,28.5,30.9,40,38,83
CBs,SYN_CBs_MEDIO_02696,3974,795,3.4,30,95,9,63,2,26.2,28.6,34,39,60
STs,SYN_STs_MEDIO_00904,6928,1260,6.2,46,225,19,82,4,27.6,30.0,47,53,79
10s,SYN_10s_BAIXO_00219,1352,312,1.0,10,0,1,42,1,27.1,28.7,0,6,34
CBs,SYN_CBs_ALTO_02061,10155,1914,10.1,37,287,32,121,3,27.4,29.6,85,85,84
CBs,SYN_CBs_ALTO_01611,9585,1964,10.4,27,225,23,104,5,26.0,27.4,64,65,88
CMs,SYN_CMs_MEDIO_02900,4396,872,4.5,40,122,5,69,0,28.2,30.0,32,11,64
CMs,SYN_CMs_ALTO_01695,8925,1730,8.8,37,267,18,99,3,32.3,35.8,52,43,81
WBs,SYN_WBs_MEDIO_00444,5525,1059,5.9,49,285,15,62,2,30.1,32.8,54,33,79
STs,SYN_STs_MEDIO_00447,5870,1160,6.0,59,201,16,76,6,29.6,32.2,50,53,80
,SYN_Indefinido_ALTO_00364,7727,1509,7.7,38,153,10,92,2,31.8,33.6,50,28,83
10s,SYN_10s_BAIXO_01113,50,56,0.7,2,0,1,13,0,26.2,27.4,0,9,5
CBs,SYN_CBs_ALTO_02078,9777,1788,9.3,34,186,23,117,2,29.6,31.9,74,62,90
,SYN_Indefinido_MEDIO_00567,5797,1264,6.3,37,330,10,88,2,26.9,30.0,32,29,68
STs,SYN_STs_ALTO_02161,10864,2280,11.4,103,320,23,114,5,28.9,31.2,84,64,92
10s,SYN_10s_MEDIO_01771,3848,847,4.7,24,179,7,73,1,26.9,28.1,32,25,54
WBs,SYN_WBs_MEDIO_00862,4792,969,4.8,60,264,9,82,2,32.5,34.3,37,26,63
STs,SYN_STs_ALTO_01756,9668,1979,9.5,109,472,24,112,9,31.2,34.2,77,71,85
,SYN_Indefinido_ALTO_00176,9887,1774,8.8,73,274,27,111,5,32.6,36.1,72,63,86
STs,SYN_STs_BAIXO_00886,171,8,0.5,9,22,5,17,4,24.8,27.4,14,3,22
10s,SYN_10s_BAIXO_00679,1867,439,2.1,0,103,2,41,0,25.8,27.0,11,5,53
STs,SYN_STs_MEDIO_01265,3637,712,3.3,22,161,13,71,3,26.6,28.8,29,33,58
CBs,SYN_CBs_ALTO_02164,9778,1895,9.4,31,271,29,106,4,25.9,27.2,77,71,94
STs,SYN_STs_BAIXO_00223,377,171,0.5,12,27,1,14,0,25.2,27.9,7,5,28
STs,ORIG_ATL_STs_018,5508,1043,4.9,39,237,17,98,7,29.0,30.9,45,41,57
CMs,SYN_CMs_MEDIO_02624,5292,966,4.8,47,145,8,73,1,26.5,27.8,25,32,76
STs,SYN_STs_BAIXO_00449,1575,375,1.8,26,8,1,32,0,25.0,27.4,8,4,41
CBs,SYN_CBs_ALTO_01571,7713,1592,7.7,39,284,18,94,3,28.6,31.2,75,68,81
WBs,SYN_WBs_MEDIO_01409,5094,1126,5.1,45,200,10,93,3,29.2,30.7,39,30,56
CMs,SYN_CMs_ALTO_00456,8467,1650,7.9,34,188,18,95,2,29.3,31.0,44,55,89
CBs,SYN_CBs_MEDIO_01075,5515,1135,6.1,25,216,10,82,0,26.3,28.2,42,37,70
WBs,SYN_WBs_BAIXO_00823,1136,200,1.0,15,102,0,30,0,26.8,28.7,6,0,34
10s,SYN_10s_MEDIO_03000,5615,1127,5.6,57,228,15,67,1,29.1,31.9,43,41,84
CBs,SYN_CBs_ALTO_00203,9458,1833,9.2,52,261,26,106,3,30.6,32.7,76,71,84
CMs,SYN_CMs_BAIXO_00597,545,197,1.5,17,20,0,102,0,26.8,28.0,3,0,5
WBs,SYN_WBs_ALTO_01124,9561,1698,8.1,48,395,27,100,9,30.8,33.2,65,54,88
STs,SYN_STs_ALTO_02132,9838,1934,9.7,94,510,38,102,8,29.1,31.2,89,83,91
10s,SYN_10s_MEDIO_01642,5224,992,4.7,23,171,16,69,2,28.9,31.9,51,32,78
10s,SYN_10s_BAIXO_00486,80,8,0.1,0,10,1,13,0,27.5,28.6,10,0,5
CBs,SYN_CBs_BAIXO_00702,934,366,1.6,3,50,1,23,0,25.4,28.6,4,12,40
10s,SYN_10s_MEDIO_01797,5043,1025,5.7,37,268,13,61,1,30.8,33.9,48,39,77
10s,SYN_10s_BAIXO_00763,1818,399,1.9,14,0,0,34,0,29.0,30.4,0,0,47
10s,SYN_10s_ALTO_02315,10333,1950,9.3,94,444,26,106,5,30.1,33.3,66,87,96
10s,SYN_10s_BAIXO_00665,660,308,2.3,18,41,2,19,0,26.0,27.9,13,5,31
CMs,SYN_CMs_MEDIO_02052,6100,1274,6.5,32,175,11,83,0,28.2,30.1,32,37,75
CBs,SYN_CBs_BAIXO_01482,437,92,0.9,0,56,3,33,0,22.9,24.9,15,3,16
CMs,SYN_CMs_ALTO_02684,9898,1960,10.2,67,236,29,121,5,29.2,32.0,71,65,82
CBs,SYN_CBs_BAIXO_00361,856,8,0.5,0,30,0,63,0,26.4,28.6,0,3,14
CMs,SYN_CMs_MEDIO_00723,4977,1050,5.3,6,163,9,92,0,32.3,35.4,32,26,56
CMs,SYN_CMs_MEDIO_01826,5361,1025,5.7,31,182,12,84,4,27.7,30.1,33,40,68
WBs,SYN_WBs_ALTO_00392,9481,1711,8.3,66,340,17,117,6,29.2,30.9,52,54,80
10s,SYN_10s_MEDIO_02984,4909,1096,5.9,55,185,13,64,3,31.6,35.1,38,37,72
WBs,SYN_WBs_ALTO_00015,9918,1840,9.2,68,427,26,122,6,30.9,33.7,72,59,80
CMs,SYN_CMs_ALTO_01417,10136,1988,9.9,59,267,19,113,2,29.8,33.4,49,51,89
CBs,SYN_CBs_ALTO_03012,9973,1971,10.2,54,294,25,105,1,31.1,33.4,82,75,94
CMs,SYN_CMs_MEDIO_00735,5979,1165,6.0,32,243,20,65,4,26.7,29.2,44,49,87
WBs,SYN_WBs_ALTO_00523,8427,1639,7.7,93,355,16,97,3,32.0,35.5,55,59,87
CMs,SYN_CMs_MEDIO_02731,6087,1163,5.4,13,211,10,76,2,25.0,27.3,30,29,79
WBs,SYN_WBs_MEDIO_01554,6470,1409,6.6,69,294,19,86,4,30.1,32.6,55,33,76
CMs,SYN_CMs_ALTO_00610,8591,1611,8.0,54,231,21,99,2,29.1,32.0,59,61,84
10s,SYN_10s_ALTO_01321,9229,1898,9.8,76,413,35,104,6,29.6,31.8,80,89,92
CMs,SYN_CMs_BAIXO_00874,1824,351,1.8,6,51,1,44,0,26.1,28.7,7,1,43
STs,SYN_STs_MEDIO_00824,5192,1208,6.0,69,243,19,61,5,26.8,30.2,51,45,83
CBs,SYN_CBs_ALTO_01978,7541,1475,7.7,32,218,15,92,3,28.6,31.5,60,56,82
,SYN_Indefinido_MEDIO_00587,7233,1209,6.0,21,177,15,97,5,26.5,29.8,41,30,76
10s,SYN_10s_ALTO_02436,8240,1586,8.8,40,355,19,97,4,29.3,32.8,64,61,83
CBs,SYN_CBs_ALTO_01941,9067,1677,8.5,46,254,16,97,1,28.7,30.4,66,58,95
10s,SYN_10s_BAIXO_01123,50,8,0.4,0,6,1,11,0,25.5,26.9,5,5,5
CMs,SYN_CMs_ALTO_02334,10571,2057,9.7,57,273,18,124,2,28.6,31.9,66,62,86
CMs,SYN_CMs_ALTO_03302,10398,1999,9.9,32,293,22,126,6,27.6,30.9,63,69,86
STs,SYN_STs_MEDIO_01594,5020,1026,5.4,73,210,13,63,2,29.0,32.4,49,35,77
